name,n_sample,Z_noise,W_noise,n_epochs,batch_size,log_metrics,learning_rate,l2_penalty,network_depth,network_width,max_avg_val_MSE
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-07,5,80,13.9868276
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,2,10,15.545138290000002
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,2,40,3.158360512000001
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,2,80,4.005897246
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,3,10,14.533083329999997
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,3,40,4.403192862
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,3,80,2.179605502
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,4,10,15.514105590000003
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,4,40,3.773233312
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,4,80,2.091225222
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,5,10,14.70557608
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,5,40,5.074187096000002
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-06,5,80,2.064465588
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,2,10,12.877321770000002
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,2,40,3.843936011999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,2,80,2.4094025779999995
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,3,10,14.285424960000006
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,3,40,14.15469784
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,3,80,1.956378582000001
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,4,10,13.840532439999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,4,40,2.649919374
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,4,80,2.023597616
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,5,10,9.155600049999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,5,40,3.107089698000001
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.0003,3e-05,5,80,1.9938138180000007
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,2,10,13.719752800000002
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,2,40,2.2032880820000003
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,2,80,1.6339597319999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,3,10,4.100322014
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,3,40,1.8970875220000005
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,3,80,1.6859741740000005
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,4,10,13.852580159999997
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,4,40,1.842045578
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,4,80,1.7394594559999996
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,5,10,12.926319249999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,5,40,1.7713055220000005
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-07,5,80,1.822494408
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,2,10,13.73380801
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,2,40,1.646374842
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,2,80,1.74382199
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,3,10,12.93258298
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,3,40,1.8849717999999995
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,3,80,1.714125907999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,4,10,13.852258960000002
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,4,40,1.7951556279999996
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,4,80,1.6803561760000003
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,5,10,12.981486259999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,5,40,1.8317718299999999
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-06,5,80,1.7795149680000002
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,2,10,13.737739240000003
