name,n_sample,n_epochs,batch_size,log_metrics,learning_rate,l2_penalty,loss_name,network_depth,network_width,max_avg_causal_loss_val
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,4,80,0.06016888714000001
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,5,10,0.05784379627999997
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,5,40,0.06156245475999999
nmmr,5000,3000,1000,True,0.0003,3e-06,V_statistic,5,80,0.06305318626000002
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,2,10,0.0637388846
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,2,40,0.05438088156000001
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,2,80,0.01049789504
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,3,10,0.060588283980000004
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,3,40,0.05905375393999999
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,3,80,0.0603988992
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,4,10,0.059814221960000004
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,4,40,0.05989824323999999
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,4,80,0.057051357719999994
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,5,10,0.05906487080000001
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,5,40,0.06037883851999999
nmmr,5000,3000,1000,True,0.0003,3e-06,U_statistic,5,80,0.056983022740000014
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,2,10,0.06732778582000001
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,2,40,0.06208892451999999
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,2,80,0.007074655937999999
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,3,10,0.06327592434000001
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,3,40,0.06228305389999998
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,3,80,0.008665057297999998
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,4,10,0.06313474582
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,4,40,0.06885115758
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,4,80,0.0193887527
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,5,10,0.05858879068000001
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,5,40,0.06119737924000001
nmmr,5000,3000,1000,True,0.0003,3e-05,V_statistic,5,80,0.0196213126
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,2,10,0.06391704966
