name,n_sample,n_epochs,batch_size,log_metrics,learning_rate,l2_penalty,loss_name,network_depth,network_width,causal_loss_val
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,3,40,0.16222887
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,3,80,0.1809073026
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,4,10,29.295739044999998
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,4,40,0.4782472541000001
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,4,80,0.03867938907
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,5,10,11.936513993999998
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,5,40,0.4577674140000001
nmmr,5000,3000,1000,True,3e-05,3e-05,V_statistic,5,80,0.05431952979000001
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,2,10,12.423777626
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,2,40,0.412394923
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,2,80,0.13388719100000002
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,3,10,7.086741253
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,3,40,0.164805674
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,3,80,0.1833688776
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,4,10,29.099978619
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,4,40,0.4725867257000001
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,4,80,0.03895849925
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,5,10,11.8629480816
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,5,40,0.46050665320000006
nmmr,5000,3000,1000,True,3e-05,3e-05,U_statistic,5,80,0.054992449869999994
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,2,10,0.4271165571999999
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,2,40,0.013040391339999999
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,2,80,0.013666291109999998
nmmr,5000,3000,1000,True,0.0003,3e-07,V_statistic,3,10,0.3122868154
