sample_size,method,oos_mse
7500,kpv,14.651350021362305
7500,kpv,14.361836433410645
7500,kpv,15.386605262756348
7500,kpv,14.668562889099121
7500,kpv,14.975579261779785
7500,kpv,15.544312477111816
7500,kpv,13.754411697387695
7500,kpv,14.564839363098145
7500,kpv,14.279276847839355
7500,kpv,14.304137229919434
7500,kpv,15.017189025878906
7500,kpv,15.054987907409668
7500,kpv,13.923479080200195
7500,kpv,13.887991905212402
7500,kpv,14.016219139099121
7500,kpv,14.136604309082031
7500,kpv,13.949812889099121
7500,kpv,13.95858097076416
1000,cevae,25.728399556231924
1000,cevae,26.359775688131887
1000,cevae,26.33216786975518
1000,cevae,25.843890686123757
1000,cevae,26.37119174249016
1000,cevae,25.35988672438354
1000,cevae,25.584688508181905
1000,cevae,26.21680278827907
1000,cevae,25.70471609407137
1000,cevae,26.572054470973196
1000,cevae,26.358859230539004
1000,cevae,25.47215687727041
1000,cevae,26.739652327639497
1000,cevae,27.182380139243577
1000,cevae,26.919692732312093
1000,cevae,26.357489383171355
1000,cevae,25.973548036635385
1000,cevae,26.538583156268384
1000,cevae,25.26412307681973
1000,cevae,27.193287775026768
5000,cevae,24.15462016544493
5000,cevae,25.558828449500275
5000,cevae,26.748340830052967
5000,cevae,25.770852232614555
5000,cevae,26.085477681139647
5000,cevae,26.23969420503153
5000,cevae,26.27949040399651
5000,cevae,26.297007001882516
5000,cevae,25.30598452342406
5000,cevae,27.113919476633598
5000,cevae,24.927492305340884
5000,cevae,26.242967667155824
5000,cevae,27.1102895698086
5000,cevae,25.018845330504455
5000,cevae,26.84328168693363
5000,cevae,26.998190628160753
5000,cevae,25.135205787174613
5000,cevae,24.107590022034714
5000,cevae,26.08369792444685
5000,cevae,27.16590813103975
7500,cevae,25.13647220756912
7500,cevae,24.060873754172164
7500,cevae,25.556782638724954
7500,cevae,26.413611403229364
7500,cevae,27.24278862837993
7500,cevae,23.266931102205533
7500,cevae,25.761768793570926
7500,cevae,25.77362555505981
7500,cevae,25.80334017025591
7500,cevae,27.02032970110777
