sample_size,method,oos_mse
50000,naivenet_ay,205.42420432417472
50000,naivenet_ay,168.65338632942564
50000,naivenet_ay,185.68730800887803
50000,naivenet_ay,176.82731857233713
1000,nmmr_u,22.108379956808754
1000,nmmr_u,30.440609498351858
1000,nmmr_u,34.688416936980516
1000,nmmr_u,19.714867199961198
1000,nmmr_u,17.09705412526422
1000,nmmr_u,19.425497889341166
1000,nmmr_u,24.722021153682256
1000,nmmr_u,23.155724472590183
1000,nmmr_u,25.61081552675149
1000,nmmr_u,16.394453706970243
1000,nmmr_u,28.834428494289437
1000,nmmr_u,19.888172272501308
1000,nmmr_u,24.732027594870754
1000,nmmr_u,27.632673099739446
1000,nmmr_u,24.1946258974998
1000,nmmr_u,22.009103678663497
1000,nmmr_u,19.91420841468923
1000,nmmr_u,29.775195696040846
1000,nmmr_u,15.986110697916848
1000,nmmr_u,28.5594226913798
5000,nmmr_u,14.794634031797065
5000,nmmr_u,11.965793104124018
5000,nmmr_u,23.187829709729716
5000,nmmr_u,25.138547803400183
5000,nmmr_u,28.555439077719797
5000,nmmr_u,20.115054650788355
5000,nmmr_u,20.059063552154875
5000,nmmr_u,12.678590230111949
5000,nmmr_u,14.891678161409569
5000,nmmr_u,29.050790742613383
5000,nmmr_u,17.462555229371603
5000,nmmr_u,13.174930685063353
5000,nmmr_u,14.96490766340591
5000,nmmr_u,32.39059394099018
5000,nmmr_u,29.04890353988854
5000,nmmr_u,12.50656227387028
5000,nmmr_u,19.500669692499713
5000,nmmr_u,14.758091442149444
5000,nmmr_u,12.464202756012131
5000,nmmr_u,12.99298134599962
10000,nmmr_u,11.799162904722433
10000,nmmr_u,11.272496938425629
10000,nmmr_u,9.951375986679711
10000,nmmr_u,20.60339968307759
10000,nmmr_u,14.621515451861196
10000,nmmr_u,10.067312292601555
10000,nmmr_u,12.251841093431988
10000,nmmr_u,13.765281364477369
10000,nmmr_u,12.508199237859396
10000,nmmr_u,20.144034420759603
10000,nmmr_u,11.906999374562165
10000,nmmr_u,14.564795660886313
10000,nmmr_u,34.474223287159006
10000,nmmr_u,15.87355056040847
10000,nmmr_u,15.138512192958805
10000,nmmr_u,13.94378433371379
