method,oos_mse,Z_noise,W_noise
nmmr_u,57.74616496106239,0.0,0.5
nmmr_u,44.49295318157666,0.0,0.5
nmmr_u,97.2754637937737,0.0,0.5
nmmr_u,44.60223772012338,0.0,0.5
nmmr_u,107.95807532268222,0.0,0.5
nmmr_u,50.518780498648695,0.0,0.5
nmmr_u,34.08494653894232,0.0,0.5
nmmr_u,26.775558008240715,0.0,0.5
nmmr_u,68.53538490762195,0.0,0.5
nmmr_u,64.29355883265004,0.0,0.5
nmmr_u,48.517775138975686,0.0,0.5
nmmr_u,46.31924770130614,0.0,0.5
nmmr_u,26.591566326274666,0.0,0.5
nmmr_u,35.55809929280481,0.0,0.5
nmmr_u,104.23789927509377,0.0,0.5
nmmr_u,32.03137098940862,0.0,0.5
nmmr_u,39.66140635995766,0.0,1.0
nmmr_u,70.07232595250329,0.0,1.0
nmmr_u,122.8938434036512,0.0,1.0
nmmr_u,62.25522119943889,0.0,1.0
nmmr_u,55.674436594824975,0.0,1.0
nmmr_u,39.19430420748467,0.0,1.0
nmmr_u,67.24992823988529,0.0,1.0
nmmr_u,59.28728071126717,0.0,1.0
nmmr_u,144.8513440871445,0.0,1.0
nmmr_u,73.51991267723511,0.0,1.0
nmmr_u,29.222905747480617,0.0,1.0
nmmr_u,29.6302201732335,0.0,1.0
nmmr_u,34.8942155034939,0.0,1.0
nmmr_u,58.92125347432557,0.0,1.0
nmmr_u,34.118536310942865,0.0,1.0
nmmr_u,51.76087594662624,0.0,1.0
nmmr_u,30.616003646060392,0.0,1.0
nmmr_u,34.177748788671366,0.0,1.0
nmmr_u,126.38956792959962,0.0,1.0
nmmr_u,43.530331552011646,0.0,1.0
nmmr_u,42.91628379995928,0.0,16.0
nmmr_u,178.68402417016404,0.0,16.0
nmmr_u,176.4884936340687,0.0,16.0
nmmr_u,96.395211214894,0.0,16.0
nmmr_u,149.53136810075415,0.0,16.0
nmmr_u,350.9005161288102,0.0,16.0
nmmr_u,96.45195164309146,0.0,16.0
nmmr_u,122.50092304806644,0.0,16.0
nmmr_u,79.14755647187422,0.0,16.0
nmmr_u,264.88023737792025,0.0,16.0
nmmr_u,182.91604274694456,0.0,16.0
nmmr_u,70.34770586895735,0.0,16.0
nmmr_u,64.62844398782634,0.0,16.0
nmmr_u,185.88270885629157,0.0,16.0
nmmr_u,28.220977584918767,0.0,16.0
nmmr_u,292.28936089766034,0.0,16.0
nmmr_u,56.10037787723839,0.0,16.0
nmmr_u,116.74634803045551,0.0,16.0
nmmr_u,63.65535945871095,0.0,16.0
nmmr_u,56.997786180681075,0.0,16.0
nmmr_u,83.21027058390858,0.0,64.0
nmmr_u,74.72716728128002,0.0,64.0
nmmr_u,63.281129586445005,0.0,64.0
nmmr_u,84.5067656618531,0.0,64.0
nmmr_u,45.41639241038962,0.0,64.0
nmmr_u,77.6844502073754,0.0,64.0
nmmr_u,51.334917850631335,0.0,64.0
nmmr_u,51.24013230710874,0.0,64.0
nmmr_u,97.56711848193434,0.0,64.0
nmmr_u,96.96114368166812,0.0,64.0
nmmr_u,36.93782147925274,0.0,64.0
nmmr_u,119.10603143051917,0.0,64.0
nmmr_u,100.99944602623796,0.0,64.0
nmmr_u,47.09431945330023,0.0,64.0
nmmr_u,107.1147707425935,0.0,64.0
nmmr_u,53.34424689831866,0.0,64.0
nmmr_u,48.5914190142679,0.0,64.0
nmmr_u,28.048182401803302,0.0,64.0
nmmr_u,74.07221703195009,0.0,64.0
nmmr_u,39.06339882930238,0.0,64.0
nmmr_u,145.75792919112132,0.0,150.0
nmmr_u,125.99030951559583,0.0,150.0
nmmr_u,52.56088076685688,0.0,150.0
nmmr_u,123.58353989520474,0.0,150.0
nmmr_u,75.92985219206108,0.0,150.0
nmmr_u,72.5048877240605,0.0,150.0
nmmr_u,71.473705103853,0.0,150.0
nmmr_u,56.112070706378326,0.0,150.0
nmmr_u,140.73516352821258,0.0,150.0
nmmr_u,42.013112151220085,0.0,150.0
nmmr_u,23.522473942185876,0.0,150.0
nmmr_u,286.02588059752946,0.0,150.0
